,Texas,California,Montana,New Mexico,Arizona,Nevada,Colorado,Oregon,Wyoming,Michigan,Minnesota,Utah,Idaho,Kansas,Nebraska,South Dakota,Washington,North Dakota,Oklahoma,Missouri,Florida,Wisconsin,Georgia,Illinois,Iowa,New York,North Carolina,Arkansas,Alabama,Louisiana,Mississippi,Pennsylvania,Ohio,Virginia,Tennessee,Kentucky,Indiana,Maine,South Carolina,West Virginia,Maryland,Massachusetts,Vermont,New Hampshire,New Jersey,Connecticut,Delaware,Rhode Island
Texas,197.5912227798598,1847.1245723999998,2173.6288480999997,697.6191038,1249.8836324,1714.694625,1102.1317844,2164.7446485,1613.4093413,1999.4120644999998,1832.0780449,1212.6643196,1679.7393797,1073.329981,1436.8455801,1818.2765802,2127.2175561,2255.6874359,629.7739883,1000.6043887,1693.3476158000003,1800.7551760000001,1314.6943305999998,1406.7003226,1403.9378551,2049.1730161,1305.2130262,602.593084,1302.7703745,601.1913509,962.4370657,1803.3202213,1612.4090844,1284.9609114,953.3459501,1280.2904035000001,1595.6059922,2701.9000299,1635.8789979000003,1567.2990399,1541.0099274,2319.7884929,2316.0286566,2472.7410726000003,1786.0740364000003,2297.0308319,1670.7790301999999,2388.56791079
California,1847.1245724,197.5912227798598,1604.1318105999999,1149.5054685999999,597.24094,593.1361619,1128.5337193999999,577.9518359,1547.2362551,2879.6097185000003,2454.7553573,1095.1664673,1062.9571047,1618.9630783,1611.9404979,2022.3534836,1045.2009315,2126.6449446,1600.8915155,2026.0837244999998,3089.9495728000006,2423.4324884,2711.2962875999997,2411.1445796,2026.6151675,3345.8678249,2701.8149832000004,1999.195041,2699.3723315,2368.9159292,2361.8424889,2985.2356751,2732.4052975,2681.5628684,2349.9479071,2400.2866166,2715.6022053,3998.5948387000003,3032.4809549000006,2687.295253,2902.1766015999997,3616.4833016999996,3612.7234654,3769.4358814,3147.2407106000005,3593.7256407,3031.9457043999996,3685.26271959
Montana,2173.6288481,1604.1318105999999,197.5912227798598,1523.2949818000002,1514.3848495000002,1041.3643008,1071.4970637,1026.1799747,560.2195068,1799.3460599999999,973.7254544,1008.249766,541.1747059,1433.8642091000002,979.2592340000001,532.0127839,988.6528823000001,522.513134,1543.8548597999998,1349.6849754,2467.3281907,1343.1688299000002,2088.6749055,1330.8809211,946.3515090000001,2631.8609672000002,2079.1936011000003,1747.6962801,2076.7509494,2117.4171683,2069.6042177,2271.2288174,2002.0180253999997,2014.4560627,1727.326525,1686.2797589000002,1678.0895517,3284.587981,2409.8595728,1973.2883953,2188.1697439,2902.4764440000004,2898.7166077,3055.4290237,2433.2338529,2879.7187830000003,2317.9388467,2971.2558618900002
New Mexico,697.6191038,1149.5054685999999,1523.2949818000002,197.5912227798598,552.2645286,1017.0755212,540.2029116,1467.1255447,1001.1650768000001,2011.8463074,1749.9954105000002,515.0452158,982.1202759,936.885538,1023.6096901,1470.8561402,1429.5984523,1908.2669959,493.3295453,918.5217543,1982.3876026000003,1718.6725416000002,1603.7343174,1324.6176882,1321.8552207,2238.3058547,1594.253013,891.6330708,1591.8103613,1261.353959,1254.2805187,1877.6737049,1624.8433273,1574.0008982,1242.3859369,1292.7246464,1608.0402351,2891.0328685,1924.9189847000002,1579.7332828,1794.6146314,2508.9213314999997,2505.1614952,2661.8739112,2039.6787404000002,2486.1636705,1924.3837342,2577.70074939
Arizona,1249.8836324,597.24094,1514.3848495,552.2645286,197.5912227798598,539.2496183,531.2927794,1059.2101324,992.2549445,2282.3687785,1857.5144172999999,506.1350835,973.2101436,1021.7221383,1014.6995579,1461.946008,1420.68832,1899.3568637,1003.6505755,1428.8427844999999,2492.7086328000005,1826.1915483999999,2114.0553475999995,1813.9036396,1429.3742275,2748.6268849,2104.5740432000002,1401.9541009999998,2102.1313915,1771.6749892,1764.6015489,2387.9947351,2135.1643575,2084.3219283999997,1752.7069671,1803.0456766,2118.3612653,3401.3538987,2435.2400149000005,2090.0543129999996,2304.9356615999995,3019.2423616999995,3015.4825253999998,3172.1949414,2549.9997706000004,2996.4847007,2434.7047643999995,3088.02177959
Nevada,1714.694625,593.1361619,1041.3643008,1017.0755212,539.2496183,197.5912227798598,996.1037719,519.9605141,984.4687452999999,2726.9192499,1920.2979441,502.0303054,500.1895949,1486.5331308,1459.9219183,1459.5859738,947.6677712999999,1563.8774348000002,1468.461568,1893.653777,2957.5196253000004,2270.7420198,2578.8663401,2258.454111,1873.9246988999998,3213.4378774,2569.3850357,1866.7650935000001,2566.942384,2236.4859817,2229.4125414,2852.8057276,2599.97535,2549.1329209,2217.5179596,2267.8566691,2583.1722578,3866.1648912,2900.0510074000003,2554.8653055,2769.7466541,3484.0533542,3480.2935179,3637.0059339,3014.8107631000003,3461.2956932,2899.5157569,3552.83277209
Colorado,1102.1317844,1128.5337193999999,1071.4970637,540.2029116,531.2927794,996.1037719,197.5912227798598,1446.1537954,511.2775569,1751.0759991,1326.2216379,494.0734665,961.1485266,490.4293589,483.4067785,930.6532285999999,1408.626703,1368.0640843,472.3577961,897.5500050999999,1961.4158534000003,1294.898769,1582.7625681999998,1282.6108602,898.0814481,2217.3341055,1573.2812638,870.6613216,1570.8386120999999,1240.3822098,1233.3087695,1856.7019556999999,1603.8715781,1553.029149,1221.4141877,1271.7528972,1587.0684858999998,2870.0611193,1903.9472355000003,1558.7615336,1773.6428821999998,2487.9495822999997,2484.189746,2640.902162,2018.7069912000002,2465.1919213,1903.4119849999997,2556.72900019
Oregon,2164.7446485,577.9518359,1026.1799747,1467.1255447,1059.2101324,519.9605141,1446.1537954,197.5912227798598,969.2844192,2711.7349238,1905.113618,952.0803289,485.0052688,1899.3425673,1444.7375922,1444.4016477,467.2490956,1548.6931087000003,1918.5115915000001,1880.9787836,2998.6219989,2255.5576937,2619.9687137,2243.2697848999996,1858.7403728,3200.762884,2610.4874093000003,2278.9900882999996,2608.0447576,2648.7109765,2600.8980259,2840.1307342,2587.3003566,2583.3579795,2258.6203332,2255.1816756999997,2570.4972644,3853.4898978,2941.153381,2542.1903121,2757.0716607000004,3471.3783608,3467.6185245,3624.3309405,3002.1357697000003,3448.6206998000002,2886.8407635000003,3540.15777869
Wyoming,1613.4093413,1547.2362550999999,560.2195068,1001.1650768000001,992.2549445,984.4687452999999,511.2775569,969.2844192,197.5912227798598,1742.4505046,935.8291988000001,486.119861,484.2791504,930.0581480999999,475.453173,475.1172285,931.7573268,912.5280842,983.6353529999999,911.6943644,2029.3375796999999,1286.2732745,1650.6842944999999,1273.9853656999999,889.4559535999999,2231.4784648,1641.2029901,1309.7056690999998,1638.7603384,1679.4265572999998,1631.6136066999998,1870.8463149999998,1618.0159374,1614.0735602999998,1289.335914,1285.8972565,1601.2128451999997,2884.2054786,1971.8689617999999,1572.9058928999998,1787.7872415000002,2502.0939415999997,2498.3341053,2655.0465212999998,2032.8513505,2479.3362806,1917.5563443,2570.87335949
Michigan,1999.4120644999998,2879.6097185,1799.3460600000003,2011.8463074000001,2282.3687785,2726.9192499,1751.0759991,2711.7349238,1742.4505046,197.5912227798598,899.3677961999999,2228.5703656,2226.729655,1536.5883250000002,1267.6692206,1267.3332761000001,2674.2078314,1350.5801166,1518.5167621,1093.3245530999998,1786.0677801000002,456.1772301,1407.4144949000001,751.0147029,852.994551,1124.291781,1361.0087564,1396.8189805000002,1395.4905388000002,1749.5895219,1388.3438071,763.6596312,420.6091645,1007.9098299999999,1046.0661144,719.1216609999999,403.8060723,1777.0187947999998,1691.6747280999998,716.2306858,931.1120344,1394.9072578,1391.1474214999998,1547.8598375000001,1011.4958286,1372.1495968,976.4878076,1463.68667569
Minnesota,1832.0780449,2454.7553573,973.7254544,1749.9954105,1857.5144172999999,1920.2979441,1326.2216379,1905.113618,935.8291988000001,899.3677961999999,197.5912227798598,1421.9490598,1420.1083492,1274.7374281,842.8148593999999,460.7119703,1867.5865256,451.2123204,1256.6658651999999,831.4736562,1949.1168715,443.1905661,1570.4635862999999,812.6696019,428.1401898,2023.6595772,1560.9822819,1229.4849609,1558.5396302,1599.2058490999998,1551.3928984999998,1663.0274274,1319.9769607,1496.2447435,1209.1152058,1168.0684397,1159.8782325,2676.386591,1891.6482535999999,1455.0770760999999,1669.9584247,2294.275054,2290.5152177,2447.2276337000003,1910.8636248,2271.517393,1799.7275275,2363.05447189
Utah,1212.6643196,1095.1664673,1008.249766,515.0452158,506.1350835,502.0303054,494.0734665,952.0803289,486.119861,2228.5703656,1421.9490598000002,197.5912227798598,467.0750601,984.5028254,961.573034,961.2370895,914.5532364999999,1398.6479451999999,966.4312626,1391.6234716,2455.4893199000003,1772.3931355,2076.8360347,1760.1052267,1375.5758145999998,2711.407572,2067.3547303,1364.7347881,2064.9120786,1734.4556763,1727.382236,2350.7754222,2097.9450446,2047.1026155,1715.4876542,1765.8263637,2081.1419524,3364.1345858,2398.0207020000003,2052.8350001,2267.7163487,2982.0230487999997,2978.2632125,3134.9756285,2512.7804577,2959.2653878,2397.4854514999997,3050.80246669
Idaho,1679.7393797,1062.9571047,541.1747059,982.1202759,973.2101436,500.1895949,961.1485266,485.0052688,484.2791504,2226.729655,1420.1083492,467.0750601,197.5912227798598,1414.3372984999999,959.7323234,959.3963789,447.4781764,1063.6878399000002,1433.5063227,1395.9735148,2513.6167301,1770.5524249,2134.9634449,1758.2645160999998,1373.7351039999999,2715.7576152,2125.4821405000002,1793.9848194999997,2123.0394888,2163.7057077,2115.8927571,2355.1254654,2102.2950878,2098.3527107,1773.6150644,1770.1764068999998,2085.4919956,3368.484629,2456.1481122,2057.1850433,2272.0663919000003,2986.373092,2982.6132557,3139.3256717,2517.1305009000002,2963.615431,2401.8354947000003,3055.15250989
Kansas,1073.329981,1618.9630782999998,1433.8642091000002,936.885538,1021.7221383,1486.5331308,490.4293589,1899.3425673000002,930.0581480999999,1536.5883249999997,1274.7374281,984.5028254,1414.3372985,197.5912227798598,454.6049751,901.8514252,1861.8154749,1339.2622809,443.5559927,443.2637719,1560.9069872,1243.4145592,1182.253702,849.3597058,846.5972383000001,1763.0478722999999,1172.7723976,841.2750765999999,1170.3297459,1210.9959648,1163.1830142,1402.4157225,1149.5853448999999,1145.6429678,820.9053215,817.466664,1132.7822526999998,2415.7748861,1503.4383693,1104.4753004,1319.356649,2033.6633490999998,2029.9035128,2186.6159288,1564.420758,2010.9056881000001,1449.1257518,2102.44276699
Nebraska,1436.8455801,1611.9404978999999,979.2592340000001,1023.6096901,1014.6995579,1459.9219183,483.4067785,1444.7375922,475.453173,1267.6692206,842.8148593999999,961.573034,959.7323234,454.6049751,197.5912227798598,447.2464501,1407.2104998,884.6573058,861.4334004,436.2411914,1553.8844067,811.4919905,1175.2311215,799.2040817,414.6746696,1756.0252917999999,1165.7498171,834.2524960999999,1163.3071654,1203.9733843,1156.1604336999999,1395.393142,1142.5627643999999,1138.6203873,813.882741,810.4440835,1125.7596721999998,2408.7523056,1496.4157888,1097.4527199,1312.3340685,2026.6407685999998,2022.8809323,2179.5933483,1557.3981775,2003.8831076000001,1442.1031713,2095.42018649
South Dakota,1818.2765802,2022.3534836,532.0127839,1470.8561402,1461.946008,1459.5859738,930.6532285999999,1444.4016477,475.1172285,1267.3332761,460.7119703,961.2370895,959.3963789,901.8514252,447.2464501,197.5912227798598,1406.8745552999999,437.4108557,1242.8644004999999,817.6721915,1935.3154068,811.1560460000001,1556.6621215999999,798.8681372,414.3387251,2099.8481833,1547.1808172,1215.6834962,1544.7381655,1585.4043843999998,1537.5914337999998,1739.2160334999999,1470.0052414999998,1482.4432788,1195.3137411,1154.266975,1146.0767678,2752.5751971,1877.8467888999999,1441.2756114,1656.15696,2370.4636601,2366.7038238,2523.4162398,1901.221069,2347.7059991,1785.9260628,2439.24307799
Washington,2127.2175561,1045.2009315,988.6528823000001,1429.5984523,1420.68832,947.6677712999999,1408.626703,467.2490956,931.7573268,2674.2078314,1867.5865256,914.5532364999999,447.4781764,1861.8154748999998,1407.2104998,1406.8745552999999,197.5912227798598,1511.1660163000001,1880.9844991,1843.4516912,2961.0949065,2218.0306013,2582.4416213,2205.7426925,1821.2132803999998,3163.2357916,2572.9603169,2241.4629959,2570.5176652,2611.1838841,2563.3709335,2802.6036418,2549.7732642,2545.8308871,2221.0932408,2217.6545833,2532.970172,3815.9628054,2903.6262886,2504.6632197,2719.5445683000003,3433.8512683999998,3430.0914321,3586.8038481,2964.6086773,3411.0936074,2849.3136711,3502.63068629
