,Year,Cumulative capacity (MW),Cumulative waste (MW),Number wpo agents
0,2020,0.0,0.0,0
1,2021,110315.54150408563,15463.335686061531,1322
2,2022,114370.87505969823,28975.17506737909,1401
3,2023,118631.49551367825,40906.29386026537,1480
4,2024,123111.19327055379,51561.3271591476,1559
5,2025,127824.93795395757,61204.565827366154,1638
6,2026,132789.00332668333,70068.10507639818,1717
7,2027,138021.10863151815,78344.33027617083,1796
8,2028,143540.57911126452,86174.76128860438,1875
9,2029,149368.52908160843,93646.45471863318,1954
10,2030,155528.0717275551,100800.72170620324,2031
11,2031,162044.56083961343,107652.05115978155,2090
12,2032,168945.87109398277,114210.86999605544,2146
13,2033,176262.7253458447,120502.93326675074,2193
14,2034,184029.07993840243,126580.1124519411,2223
15,2035,192282.58250839912,132520.85515716491,2277
16,2036,201065.12158921105,138422.16353856784,2286
17,2037,210423.49405071602,144387.33922659658,2264
18,2038,220410.22590563277,150514.27798309445,2234
19,2039,231084.59546818456,156887.83811242605,2168
20,2040,242513.9270397408,163577.53644825128,2116
21,2041,254775.25079482966,170639.67134776822,2103
22,2042,267957.4641137132,178121.81799684648,2074
23,2043,282164.18675799493,186067.69066819,2118
24,2044,297517.5850671259,194521.17366904297,2150
25,2045,314163.56056063384,203529.22854716904,2160
26,2046,332278.87324707984,213143.95678241926,2158
27,2047,352081.02490682073,223424.2786080665,2188
28,2048,373842.0998014386,234437.6412033343,2214
29,2049,397908.3042086172,246262.07500375115,2224
30,2050,424727.7419402744,258988.87174924216,2181
